*Sch DP	Act DP
07/07/2015 2:00 PM (Tu)	2:23PM
07/07/2015 2:00 PM (Tu)	2:19PM
07/07/2015 2:02 PM (Tu)	4:05PM
07/07/2015 2:11 PM (Tu)	2:12PM
07/07/2015 2:15 PM (Tu)	2:22PM
07/07/2015 2:20 PM (Tu)	2:20PM
07/07/2015 2:44 PM (Tu)	2:44PM
07/07/2015 3:00 PM (Tu)	
07/07/2015 3:00 PM (Tu)	3:00PM
07/07/2015 3:05 PM (Tu)	3:05PM
07/07/2015 3:15 PM (Tu)	3:15PM
07/07/2015 3:15 PM (Tu)	3:19PM
07/07/2015 3:30 PM (Tu)	3:35PM
07/07/2015 3:35 PM (Tu)	4:15PM
07/07/2015 3:40 PM (Tu)	3:40PM
07/07/2015 4:00 PM (Tu)	4:20PM
07/07/2015 4:00 PM (Tu)	4:20PM
07/07/2015 4:03 PM (Tu)	4:03PM
07/07/2015 4:05 PM (Tu)	4:05PM
07/07/2015 4:40 PM (Tu)	4:40PM
07/07/2015 4:42 PM (Tu)	4:42PM
07/07/2015 5:00 PM (Tu)	5:00PM
07/07/2015 5:00 PM (Tu)	5:00PM
07/07/2015 5:10 PM (Tu)	5:11PM
07/07/2015 5:39 PM (Tu)	5:39PM
07/07/2015 5:42 PM (Tu)	7:16PM
07/07/2015 5:47 PM (Tu)	5:48PM
07/07/2015 6:00 PM (Tu)	6:00PM
07/07/2015 6:00 PM (Tu)	6:12PM
07/07/2015 6:25 PM (Tu)	6:25PM
07/07/2015 6:35 PM (Tu)	6:35PM
07/07/2015 6:45 PM (Tu)	7:10PM
07/07/2015 6:45 PM (Tu)	7:27PM
07/07/2015 7:00 PM (Tu)	7:01PM
07/07/2015 7:00 PM (Tu)	7:12PM
07/07/2015 7:15 PM (Tu)	7:15PM
07/07/2015 7:40 PM (Tu)	7:40PM
07/07/2015 7:50 PM (Tu)	7:50PM
07/07/2015 8:00 PM (Tu)	8:17PM
07/07/2015 8:55 PM (Tu)	8:55PM
07/07/2015 9:05 PM (Tu)	9:05PM
07/07/2015 9:10 PM (Tu)	9:10PM
07/07/2015 10:05 PM (Tu)	10:07PM
07/07/2015 10:45 PM (Tu)	10:45PM
07/07/2015 11:15 PM (Tu)	11:15PM
07/08/2015 2:40 AM (We)	3:00AM
07/08/2015 3:00 AM (We)	3:00AM
07/08/2015 4:40 AM (We)	4:50AM
07/08/2015 5:30 AM (We)	5:30AM
07/08/2015 6:00 AM (We)	6:01AM
07/08/2015 6:05 AM (We)	6:07AM
07/08/2015 6:10 AM (We)	6:11AM
07/08/2015 6:20 AM (We)	6:22AM
07/08/2015 6:45 AM (We)	7:02AM
07/08/2015 6:55 AM (We)	6:55AM
07/08/2015 7:00 AM (We)	7:00AM
07/08/2015 7:05 AM (We)	7:05AM
07/08/2015 7:15 AM (We)	7:15AM
07/08/2015 7:17 AM (We)	7:17AM
07/08/2015 7:25 AM (We)	7:26AM
07/08/2015 8:00 AM (We)	8:00AM
07/08/2015 8:00 AM (We)	8:03AM
07/08/2015 8:10 AM (We)	8:10AM
07/08/2015 8:15 AM (We)	8:21AM
07/08/2015 8:30 AM (We)	8:33AM
07/08/2015 9:00 AM (We)	9:01AM
07/08/2015 9:30 AM (We)	9:30AM
07/08/2015 9:35 AM (We)	9:41AM
07/08/2015 10:00 AM (We)	10:00AM
07/08/2015 10:03 AM (We)	10:13AM
07/08/2015 10:20 AM (We)	10:20AM
07/08/2015 10:35 AM (We)	10:36AM
07/08/2015 10:52 AM (We)	10:52AM
07/08/2015 11:00 AM (We)	11:00AM
07/08/2015 11:00 AM (We)	11:00AM
07/08/2015 11:02 AM (We)	11:22AM
07/08/2015 11:20 AM (We)	11:21AM
07/08/2015 11:33 AM (We)	11:33AM
07/08/2015 11:35 AM (We)	11:35AM
07/08/2015 12:00 PM (We)	12:00PM
07/08/2015 12:03 PM (We)	12:20PM
07/08/2015 12:05 PM (We)	12:05PM
07/08/2015 12:30 PM (We)	12:32PM
07/08/2015 12:35 PM (We)	12:35PM
07/08/2015 1:00 PM (We)	1:27PM
